id,queue_name,entity_id,entity_table,action,simulation_time,simulation_datetime,priority,queue_length_before,queue_length_after,wait_time
192,FIFOQueue,30,Project,exit,3245.326338112216,2024-01-03 06:05:19.580287,,1,0,0.0
193,FIFOQueue,33,Project,entry,3271.7003922493464,2024-01-03 06:31:42.023535,,0,1,
194,FIFOQueue,33,Project,exit,3271.7003922493464,2024-01-03 06:31:42.023535,,1,0,0.0
195,FIFOQueue,34,Project,entry,3279.806715396271,2024-01-03 06:39:48.402924,,0,1,
196,FIFOQueue,34,Project,exit,3279.806715396271,2024-01-03 06:39:48.402924,,1,0,0.0
197,FIFOQueue,31,Project,entry,3285.092299970458,2024-01-03 06:45:05.537998,,0,1,
198,FIFOQueue,31,Project,exit,3285.092299970458,2024-01-03 06:45:05.537998,,1,0,0.0
199,FIFOQueue,32,Project,entry,3334.3082790887365,2024-01-03 07:34:18.496745,,0,1,
200,FIFOQueue,32,Project,exit,3334.3082790887365,2024-01-03 07:34:18.496745,,1,0,0.0
201,FIFOQueue,35,Project,entry,3364.5819045387016,2024-01-03 08:04:34.914272,,0,1,
202,FIFOQueue,35,Project,exit,3364.5819045387016,2024-01-03 08:04:34.914272,,1,0,0.0
203,FIFOQueue,35,Project,entry,3419.651818738306,2024-01-03 08:59:39.109124,,0,1,
204,FIFOQueue,35,Project,exit,3419.651818738306,2024-01-03 08:59:39.109124,,1,0,0.0
205,FIFOQueue,34,Project,entry,3449.569258917725,2024-01-03 09:29:34.155535,,0,1,
206,FIFOQueue,34,Project,exit,3449.569258917725,2024-01-03 09:29:34.155535,,1,0,0.0
207,FIFOQueue,33,Project,entry,3582.6582130270467,2024-01-03 11:42:39.492782,,0,1,
208,FIFOQueue,33,Project,exit,3582.6582130270467,2024-01-03 11:42:39.492782,,1,0,0.0
209,FIFOQueue,35,Project,entry,3689.8010710075187,2024-01-03 13:29:48.064260,,0,1,
210,FIFOQueue,35,Project,exit,3689.8010710075187,2024-01-03 13:29:48.064260,,1,0,0.0
211,FIFOQueue,36,Project,entry,3848.1446858513286,2024-01-03 16:08:08.681151,,0,1,
212,FIFOQueue,36,Project,exit,3848.1446858513286,2024-01-03 16:08:08.681151,,1,0,0.0
213,FIFOQueue,36,Project,entry,3905.818796699558,2024-01-03 17:05:49.127802,,0,1,
214,FIFOQueue,36,Project,exit,3905.818796699558,2024-01-03 17:05:49.127802,,1,0,0.0
215,FIFOQueue,37,Project,entry,3962.816887246289,2024-01-03 18:02:49.013235,,0,1,
216,FIFOQueue,37,Project,exit,3962.816887246289,2024-01-03 18:02:49.013235,,1,0,0.0
217,FIFOQueue,38,Project,entry,3973.9505449973053,2024-01-03 18:13:57.032700,,0,1,
218,FIFOQueue,38,Project,exit,3973.9505449973053,2024-01-03 18:13:57.032700,,1,0,0.0
219,FIFOQueue,38,Project,entry,4014.9899964079614,2024-01-03 18:54:59.399784,,0,1,
220,FIFOQueue,38,Project,exit,4014.9899964079614,2024-01-03 18:54:59.399784,,1,0,0.0
221,FIFOQueue,37,Project,entry,4030.188775266784,2024-01-03 19:10:11.326516,,0,1,
222,FIFOQueue,37,Project,exit,4030.188775266784,2024-01-03 19:10:11.326516,,1,0,0.0
223,FIFOQueue,39,Project,entry,4049.235542979357,2024-01-03 19:29:14.132579,,0,1,
224,FIFOQueue,39,Project,exit,4049.235542979357,2024-01-03 19:29:14.132579,,1,0,0.0
225,FIFOQueue,40,Project,entry,4102.37020787141,2024-01-03 20:22:22.212472,,0,1,
226,FIFOQueue,40,Project,exit,4102.37020787141,2024-01-03 20:22:22.212472,,1,0,0.0
227,FIFOQueue,39,Project,entry,4108.51924529732,2024-01-03 20:28:31.154718,,0,1,
228,FIFOQueue,39,Project,exit,4108.51924529732,2024-01-03 20:28:31.154718,,1,0,0.0
229,FIFOQueue,40,Project,entry,4151.851607955836,2024-01-03 21:11:51.096477,,0,1,
230,FIFOQueue,40,Project,exit,4151.851607955836,2024-01-03 21:11:51.096477,,1,0,0.0
231,FIFOQueue,38,Project,entry,4168.851077065401,2024-01-03 21:28:51.064624,,0,1,
232,FIFOQueue,38,Project,exit,4168.851077065401,2024-01-03 21:28:51.064624,,1,0,0.0
233,FIFOQueue,41,Project,entry,4178.030255165857,2024-01-03 21:38:01.815310,,0,1,
234,FIFOQueue,41,Project,exit,4178.030255165857,2024-01-03 21:38:01.815310,,1,0,0.0
235,FIFOQueue,41,Project,entry,4239.230540486031,2024-01-03 22:39:13.832429,,0,1,
236,FIFOQueue,41,Project,exit,4239.230540486031,2024-01-03 22:39:13.832429,,1,0,0.0
237,FIFOQueue,42,Project,entry,4258.45305917192,2024-01-03 22:58:27.183550,,0,1,
238,FIFOQueue,42,Project,exit,4258.45305917192,2024-01-03 22:58:27.183550,,1,0,0.0
239,FIFOQueue,37,Project,entry,4281.8474116449,2024-01-03 23:21:50.844699,,0,1,
240,FIFOQueue,37,Project,exit,4281.8474116449,2024-01-03 23:21:50.844699,,1,0,0.0
241,FIFOQueue,36,Project,entry,4291.683975253571,2024-01-03 23:31:41.038515,,0,1,
242,FIFOQueue,36,Project,exit,4291.683975253571,2024-01-03 23:31:41.038515,,1,0,0.0
243,FIFOQueue,42,Project,entry,4322.218808729714,2024-01-04 00:02:13.128524,,0,1,
244,FIFOQueue,42,Project,exit,4322.218808729714,2024-01-04 00:02:13.128524,,1,0,0.0
245,FIFOQueue,41,Project,entry,4443.983449618366,2024-01-04 02:03:59.006977,,0,1,
246,FIFOQueue,41,Project,exit,4443.983449618366,2024-01-04 02:03:59.006977,,1,0,0.0
